prefered placename	tgn id	latitude	longitude	tgn placetype	place category	google maps	Comment	Uncertainty	name var 1	name var 2	name var 3	name var 4	name var 5	name var 6	name var 7	name var 8	name var 9	name var 10	name var 11	name var 12	name var 13	name var 14	name var 15	name var 16	name var 17	name var 18	name var 19	name var 20	name var 21	name var 22	name var 23	name var 24	name var 25	name var 26	name var 27	name var 28	name var 29	name var 30	name var 31	name var 32	name var 33	name var 34	name var 35	name var 36
Hokow		22.538506	104.01109			https://www.google.com/maps/place/22.538506+104.01109		false	Hokow																																			
Hokshuha	8651498	23.721306	115.348822	Inhabited place	Point	https://www.google.com/maps/place/23.721306+115.348822	TGN for Heshuxia, in accordance with Reference Guide to Christian Missionary Societies in China	true	Hokshuha	Hokshuha, Kwangtung																																		
Honai	1080159	33.5	132.4167	Inhabited place	Point	https://www.google.com/maps/place/33.5+132.4167		false	Honai																																			
Honan	7016672	34	113.666667	Province	Polygon	https://www.google.com/maps/place/34+113.666667		false	Honan																																			
Honecohé		12.558293	109.217714			https://www.google.com/maps/place/12.558293+109.217714		true	Honecohé	Honecohé, Annam																																		
Hong Yen	7594823	20.816667	106.05	Province	Polygon	https://www.google.com/maps/place/20.816667+106.05		true	Hong Yen	Hong Yen, Tonkin	Hongyen, Tonkin	Hong-yen, Tonkin	Hongyuen, Tonkin	Hungyen, Tonkin																														
Hongay	1087140	20.95	107.1	Inhabited place	Point	https://www.google.com/maps/place/20.95+107.1		false	Hongay	Hongay, Tonkin																																		
Honghoa		21.276199	105.286855			https://www.google.com/maps/place/21.276199+105.286855		true	Honghoa	Honghoa, Tonkin	Hung-hoa, Tonkin	Hunghao, Tonkin	Hunghoa, Tonkin																															
Hongkong	7004542	22.25	114.1667	Semi-independent political entity	Polygon	https://www.google.com/maps/place/22.25+114.1667		false	Hongkoing	Hongkong	Hongkong.	Hong Kong	H'kong	H'kong.	H’kong	H’kong.	H'Kong	H’Kong	Honkoug	H kong.	Hongkoug	Hongkon	Hongkog	Honkgong	Honkong	H’kong-	Hcngkong	Hongkong:	Hongkorg	Hontrkong														
Hsiao-i-hsien	1072904	37.122778	111.802222	Inhabited place	Point	https://www.google.com/maps/place/37.122778+111.802222		false	Hsiao-i-hsien	Hsiao Ihsien, Shansi																																		
Hsincheo	8682200	34.384882	109.055427	Fourth level subdivision	Polygon	https://www.google.com/maps/place/34.384882+109.055427		true	Hsincheo, Shansi																																			
Hsingsi, Kueichow Province						https://www.google.com/maps/place/+	Not found	true	Hsingsi, Kueichow Province																																			
Hsjnyang	7016661	41.792222	123.432778	Inhabited place	Point	https://www.google.com/maps/place/41.792222+123.432778	TGN for Shenyang	false	Hsjnyang	Hsjnyang, Manchuria																																		
Huaphai		15.38567	105.480664			https://www.google.com/maps/place/15.38567+105.480664		false	Huaphai, Siam	Huaphai																																		
Huchow	1069085	30.870301	120.093297	Inhabited place	Point	https://www.google.com/maps/place/30.870301+120.093297		false	Huchow																																			
Huiwa	1069006	25.032314	118.794951	Inhabited place	Point	https://www.google.com/maps/place/25.032314+118.794951	Tgn for Hui'an	true	Huiwa	Huiwa, Fokien																																		
Hunan	7002079	27.666667	111.75	Province	Polygon	https://www.google.com/maps/place/27.666667+111.75		false	Hunan																																			
Hunchun	8203046	42.8675	130.358056	Inhabited place	Point	https://www.google.com/maps/place/42.8675+130.358056		false	Hunchun																																			
Hupeh	7002078	31	112.25	Province	Polygon	https://www.google.com/maps/place/31+112.25		false	Hupeh	Northern Hupeh																																		
Hué	7004240	16.4667	107.5833	Inhabited place	Point	https://www.google.com/maps/place/16.4667+107.5833		false	Hué	Hué, Annam																																		
Hyogo	7016675	35.040316	134.825968	Prefecture	Polygon	https://www.google.com/maps/place/35.040316+134.825968		false	Hyogo																																			
Ichang	7001836	30.77135	111.321458	Inhabited place	Point	https://www.google.com/maps/place/30.77135+111.321458		false	Ichang	ichang																																		
Ichow-fu	1069912	35.063056	118.342778	Inhabited place	Point	https://www.google.com/maps/place/35.063056+118.342778		false	Ichow-fu, Shantung	Ichow-fu	Ichowfu	Ichowfu, Shantung																																
Ilocos		16.62	120.32		Polygon	https://www.google.com/maps/place/16.62+120.32		false	Ilocos, Filipinos																																			
Ilocos Súr, Philippines	1001306	17.261	120.533	Province	Polygon	https://www.google.com/maps/place/17.261+120.533		false	Ylocos Súr, Filipinas																																			
Iloilo	1084264	10.7	122.5667	Inhabited place	Point	https://www.google.com/maps/place/10.7+122.5667		false	Iloilo	Iloilo, P.I.	Ilioilo	Iioilo	Jaro, Iloilo	Jaro, Philippines	Molo, Iloilo	Molo, Philippines	Obispado, Iloilo																											
Ipoh	1082739	4.6	101.0333	Inhabited place	Point	https://www.google.com/maps/place/4.6+101.0333		false	Ipoh	Ipoh, Perak	Ipoh, perak																																	
Iriga	1084272	13.4333	123.4	Inhabited place	Point	https://www.google.com/maps/place/13.4333+123.4		false	Iriga	Iriga, Phillipines																																		
Isabela de Luzon	1001314	17	122	Province	Polygon	https://www.google.com/maps/place/17+122		false	Isabela de Luzon																																			
Isé Province	1080249	34.4833	136.7	Inhabited place	Point	https://www.google.com/maps/place/34.4833+136.7		false	Isé Province, Japan	Isé Province																																		
Iwane-machi	1080541	35.3833	139.95	Inhabited place	Point	https://www.google.com/maps/place/35.3833+139.95		false	Iwane-machi	Iwane-machi, Japan																																		
Japan	1000120	36	138	Nation	Polygon	https://www.google.com/maps/place/36+138		false	Japan																																			
Jasin	1082741	2.3	102.4	Inhabited place	Point	https://www.google.com/maps/place/2.3+102.4		false	Jasin	Jasin Malacca	Jasin, Malacca																																	
Java	7003695	-7.491667	110.004444	Island (landform)	Polygon	https://www.google.com/maps/place/-7.491667+110.004444		false	Java																																			
Jelebu		3	102.083333		Polygon	https://www.google.com/maps/place/35.375972+139.916833	Jelebu District	false	Jelebu																																			
Jesselton	1082804	5.9833	116.0667	Inhabited place	Point	https://www.google.com/maps/place/5.9833+116.0667	New from 1973 draft	true	Jesselton	Jesselton, B. N. B																																		
Johor Baharu	1082750	1.4833	103.7333	Inhabited place	Point	https://www.google.com/maps/place/1.4833+103.7333	seems to be a district of Johor Baharu	false	Tebrau, Johore	Johor Baharu	Johore Bahru, Johore																																	
Johore	7016691	2	103.5	State (political division)	Polygon	https://www.google.com/maps/place/2+103.5		false	Johore	Jonore	Joliore																																	
K'u-hsien, Szechuen						https://www.google.com/maps/place/+	Not found	true	K'u-hsien, Szechuen	K'ü-hsien, Szechuen																																		
Kachek	1071125	19.2425	110.464167	Inhabited place	Point	https://www.google.com/maps/place/19.2425+110.464167		false	Kachek																																			
Kagoshima	7004844	31.6167	130.5333	Inhabited place	Point	https://www.google.com/maps/place/31.6167+130.5333		false	Kagoshima	Kagoshima, Japan																																		
Kaiping	1069496	22.381245	112.684921	Inhabited place	Point	https://www.google.com/maps/place/22.381245+112.684921		false	Kaiping																																			
Kajang	1082751	2.9833	101.7667	Inhabited place	Point	https://www.google.com/maps/place/2.9833+101.7667		false	Kajang, Selangor	Kajang																																		
Kalgan	7001475	40.81	114.879444	Inhabited place	Point	https://www.google.com/maps/place/40.81+114.879444		false	Kalgan	Kalgan, Chihli																																		
Kampong	1066366	12	105.45	Inhabited place	Point	https://www.google.com/maps/place/12+105.45		true	Kampong, Cambodge	Kampong																																		
Kampot	1066372	10.6167	104.1833	Inhabited place	Point	https://www.google.com/maps/place/10.6167+104.1833		false	Kampot, Cambodge	Kampot																																		
Kampot, Cochin-China	1066372	10.6167	104.1833	Inhabited place	Point	https://www.google.com/maps/place/10.6167+104.1833	Presumably a city in Cambodga and not Vietnam	true	Kampot, Cochin-China																																			
Kanazawa	7004554	36.5833	136.6333	Inhabited place	Point	https://www.google.com/maps/place/36.5833+136.6333		false	Kanazawa, Japan	Kanazawa																																		
Kang Boe, Fokien						https://www.google.com/maps/place/+	Not found	true	Kang Boe, Fokien																																			
Kangboe	7001465	24.479794	118.081869	Inhabited place	Point	https://www.google.com/maps/place/24.479794+118.081869	seems to be a district of Xiamen now, but uncertain	true	Kangboe, Fukien																																			
Kanghau	1067772	23.048889	113.744722	Inhabited place	Point	https://www.google.com/maps/place/23.048889+113.744722		false	Kanghau	Kanghau, Kwangtung																																		
Kanowit	1082783	2.05	112.25	Inhabited place	Point	https://www.google.com/maps/place/2.05+112.25		false	Kanowit, Sarawak	Kanowit																																		
Kansuh	1001261	37.75	102.75	Province	Polygon	https://www.google.com/maps/place/37.75+102.75	seems to be a monastery in the Gansu region, TGN for Gansu	true	Liang-cheo, Kansuh	Liangcheo, Kansuh																																		
Kansuh	1001261	37.75	102.75	Province	Polygon	https://www.google.com/maps/place/37.75+102.75	Province of Gansu	true	Kansuh	Kansuli																																		
Kaochow	8204212	21.939243	110.846074	Inhabited place	Point	https://www.google.com/maps/place/21.939243+110.846074	uncertain regarding the region	true	Ko-chau, Kwangse	Kaochow																																		
Kayingchow	8631637	24.297687	116.107241	Inhabited place	Point	https://www.google.com/maps/place/24.297687+116.107241	Tgn for Meizhou	true	Kayingchow, Kwangtung	Kayingchow																																		
Kayuen	8622616	42.533056	124.040278	Inhabited place	Point	https://www.google.com/maps/place/42.533056+124.040278	tgn for Kaiyuan	false	Kayuen, Manchuria	Kayuen, North China																																		
Kedah	7016702	6	100.666667	State (political division)	Polygon	https://www.google.com/maps/place/6+100.666667		false	Kedah																																			
Kelantan	1001885	5.333333	102	State (political division)	Polygon	https://www.google.com/maps/place/5.333333+102		false	Kelantan																																			
Ketong	8493360	26.153171	109.713017	Inhabited place	Point	https://www.google.com/maps/place/26.153171+109.713017	Ketong in China	true	Ketong, Sarawak																																			
Khanh-hoi, Cochinchine		9.319924	104.833118		Point	https://www.google.com/maps/place/9.319924+104.833118		true	Khanh-hoi, Cochinchine	Khanhoi, Cochinchine																																		
Khone		13.948056	105.940556		Point	https://www.google.com/maps/place/13.948056+105.940556	Located in Laos not Cochinchine	true	Khone, Láos, Cochinchine	Khone																																		
Khong	1082500	14.1167	105.85	Inhabited place	Point	https://www.google.com/maps/place/14.1167+105.85		false	Khong, Cochin China	Khong	Khong, Cochinchina																																	
Kia-ting-fu	1069726	29.562275	103.76386	Inhabited place	Point	https://www.google.com/maps/place/29.562275+103.76386		false	Kia-ting-fu, Szechuen	Kia-ting-fu																																		
Kiaisiu, Shansi						https://www.google.com/maps/place/+	Not found	true	Kiaisiu, Shansi																																			
Kiangshan		28.736111	118.625		Point	https://www.google.com/maps/place/28.736111+118.625	multiple possibilities	true	Kiangshan, Chekiang																																			
Kiangsi	7002082	27.666667	115.666667	Province	Polygon	https://www.google.com/maps/place/27.666667+115.666667		false	Kiangsi	Kiangsee Liki	Kiangse Province	East Kiangse	Kiangsi Province																															
Kiangsu	7002081	33	119.833333	Province	Polygon	https://www.google.com/maps/place/33+119.833333		false	Kiangsu																																			
Kiao-chow	7001848	36.283889	120.003333	Inhabited place	Point	https://www.google.com/maps/place/36.283889+120.003333		false	Kiaochau	Kiaochou	Kiaochow	Kiao-chow	Tsintau, Kiaochao Bay	Tsintau, Kiaochau																														
Kiashing		30.766667	120.75		Point	https://www.google.com/maps/place/30.766667+120.75	For Kashing	true	Kiashing																																			
Kiating	1069726	29.562275	103.76386	Inhabited place	Point	https://www.google.com/maps/place/29.562275+103.76386		false	Kiating, Szechuen	Kiating																																		
Kimbong		15.866401	108.319663		Point	https://www.google.com/maps/place/20.660452+105.867076		false	Kimbong, Annam	Kimbong																																		
Kin-men	7469009	24.45333	118.38861	County	Polygon	https://www.google.com/maps/place/24.45333+118.38861	Taiwanese Island, therefore in conflict with Southern Hupeh	true	Kin-men, Southern Hupeh	Kin-men																																		
Kinchow, Southern Hupeh	8622529				Point	https://www.google.com/maps/place/38.034+115.044	For Jingzhou	false	Kinchow, Southern Hupeh																																			
Kinkiaeg						https://www.google.com/maps/place/+		false	Kinkiaeg																																			
Kinta		4.583333	101.083333		Polygon	https://www.google.com/maps/place/4.583333+101.083333		false	Kinta, Perak	Kinta																																		
Kirin	1069269	43.850833	126.560278	Inhabited place	Point	https://www.google.com/maps/place/43.850833+126.560278		false	Kirim, Manchuria	Kirin	Kirin, Manchuria																																	
Kiukiang	7001850	29.733333	115.983333	Inhabited place	Point	https://www.google.com/maps/place/29.733333+115.983333	via map	true	Kuikiang	Kiukiung	Kewkiang	Kewkiaug	Kewkinag	Kiukiang																														
Kiukiang	1139206	29.60794	115.887205	Inhabited place	Point	https://www.google.com/maps/place/29.60794+115.887205		false																																				
Kiungchow	7032324	20.005833	110.354167	Inhabited place	Point	https://www.google.com/maps/place/20.005833+110.354167		false	Kiungchow																																			
Klang	1082788	3	101.45	Inhabited place	Point	https://www.google.com/maps/place/3+101.45		false	Klang	Klang, Selanger	Klang, Selangor																																	
Kluang	1077865	-2.6833	103.9	Inhabited place	Point	https://www.google.com/maps/place/-2.6833+103.9		false	Kluang Johore	Kluang, Johore																																		
Kobe	7004560	34.6667	135.2	Inhabited place	Point	https://www.google.com/maps/place/34.6667+135.2		false	Kob	Kobe	Kobe.	Kobo	Keob																															
Kobe						https://www.google.com/maps/place/+	uncvertain, Kobe is the closest possibility	true	Koke	Robe																																		
Kochi	7004893	33.55	133.5333	Inhabited place	Point	https://www.google.com/maps/place/33.55+133.5333		false	Kochi, Japan	Kochi																																		
Kofu	1140416	35.7	138.5667	Inhabited place	Point	https://www.google.com/maps/place/35.7+138.5667	two possibilites	false	Kofu, Japan	Kofu																																		
Kompong Thom	1066370	12.7	104.9	Inhabited place	Point	https://www.google.com/maps/place/12.7+104.9		false	Kompong Thom, Cambodge	Kompong Thom	Kompong-thom, Cambodge	Kamphong Thom, Cambodia	Kompongthom, Cambodia																															
Kompong chuan, Cambodge	1066367	12.25	104.6667	Inhabited place	Point	https://www.google.com/maps/place/12.25+104.6667	TGN for Kâmpóng Chhnăng	true	Kompong chuan, Cambodge	Kompong chuan																																		
Kongmoon	8208273	22.583333	113.083333	Inhabited place	Point	https://www.google.com/maps/place/22.583333+113.083333		false	Kongmoon																																			
Korat	7000979	15	102.1	Inhabited place	Point	https://www.google.com/maps/place/15+102.1		false	Korat, Siam	Korat																																		
Kota Belud	1082803	6.3667	116.3167	Inhabited place	Point	https://www.google.com/maps/place/6.3667+116.3167		false	Kota Belud, B. N. Borneo																																			
Kowloon Frontier	7018486	22.3167	114.1833	Peninsula	Polygon	https://www.google.com/maps/place/22.3167+114.1833	Cooridnates of the Kowloon Peninsula	true	K’loon Frontier	Kowloon	Kowloon Frontier	Kowloon, H'kong	Frontier	Kowloon, Hongkong	Kowloon, H’kong																													
Kratie	7000825	12.66667	106.08333	Province	Polygon	https://www.google.com/maps/place/12.66667+106.08333	City in Cambodge	true	Kratie, Cambodge	Kratie	Kratie, Cochinchine																																	
Krauchmar, Cochin-China		12.166667	105.666667		Point	https://www.google.com/maps/place/12.166667+105.666667	City in Cambodge	true	Krauchmar, Cochin-China																																			
Krian		5	100.5		Polygon	https://www.google.com/maps/place/5+100.5		false	Krian	Krian District, Perak	Krian, Perak																																	
Ksuhan Province	1069581	31.35	120.95	Inhabited place	Point	https://www.google.com/maps/place/31.35+120.95	uncertain, multiple possiblities	true	Ksuhan Province																																			
Kuala Kangsar	1082810	4.8333	100.9167	Inhabited place	Point	https://www.google.com/maps/place/4.8333+100.9167		false	Kuala Kangar Perak	Kwala Kangsa, Perak																																		
Kuala Lipis	1082818	4.1833	102	Inhabited place	Point	https://www.google.com/maps/place/4.1833+102		false	Kuala Lipis																																			
Kuala Lumpur	7001459	3.1667	101.7	Inhabited place	Point	https://www.google.com/maps/place/3.1667+101.7		false	K. Lumpur	K. Lumpur, Selangor	Kuala Kumpur	Kuala Lumpur	Kuala Lumpur, Sel.	Kuala Lumpur, Selangor	Kuala Lumpur, Selangr	Kwala Lumpur	Kwala Lumpur, Selangor	Kwala Lumpor, Selangor																										
Kuala Tinggi	1082806				Point		For Kota Tinggi	true	Kuala Tinggi	Kuala Tinggi, Johore																																		
Kuan-hsien	8208530	31.0146	103.582	Inhabited place	Point	https://www.google.com/maps/place/31.0146+103.582		false	Kuan-hsien, Szechuen	Kuan-hsien	Kuanhsien, Szechuen																																	
Kuantan	1082825	3.8333	103.3167	Inhabited place	Point	https://www.google.com/maps/place/3.8333+103.3167		false	Kuantan	Kuantan, Pahang																																		
Kucheo, Chekiang						https://www.google.com/maps/place/+	Not found	true	Kucheo, Chekiang																																			
Kuching	1082827	1.5333	110.3333	Inhabited place	Point	https://www.google.com/maps/place/1.5333+110.3333		false	Kuching	Kuching, Sarawak	Sarawak Proper, Sarawak																																	
Kudat	1082828				Point	https://www.google.com/maps/place/6.883333+116.833333		false	Kudat, British North Berneo	Kudat	Kudat, British North Borneo																																	
Kueichow	7002080	27	107	Province	Polygon	https://www.google.com/maps/place/27+107		false	Kueichow																																			
Kueiyang	7001855	26.583333	106.716667	Inhabited place	Point	https://www.google.com/maps/place/26.583333+106.716667		false	Kueiyang, Kueichow	Kueiyang																																		
Kuhwu, Shansi						https://www.google.com/maps/place/+	Not found	true	Kuhwu, Shansi																																			
Kumamoto	7004598	32.8333	130.7	Inhabited place	Point	https://www.google.com/maps/place/32.8333+130.7		false	Kumamoto, Japan	Kumamoto																																		
Kwala Kubu		3.566667	101.65		Point	https://www.google.com/maps/place/3.566667+101.65		false	Kwala Kubu, Selangor	Kwala Kubu																																		
Kwala Langat, Selangor		2.833333	101.5		Polygon	https://www.google.com/maps/place/2.833333+101.5		false	Kwala Langat, Selangor																																			
Kwala Selangor	1082822	3.4	101.2	Inhabited place	Point	https://www.google.com/maps/place/3.4+101.2		false	Kwala Selangor	Kwala Selangor, Selangor																																		
Kwangse	8569600	23.336944	102.315833	Inhabited place	Point	https://www.google.com/maps/place/23.336944+102.315833	TGN for Yuesi  seems to be the old name for Kwang-se	true	Kwangchi	Kwangse	Kwangsi	Kwang-si																																
Kwangtung	7005232	23.5	113.25	Province	Polygon	https://www.google.com/maps/place/23.5+113.25	Hinnen seems to be a missionary station in Guangdong; TGN for Guangdong	true	Hinnen Kwangtung	Kwangtung																																		
Kwei-hsien		23.096389	109.609167		Point	https://www.google.com/maps/place/23.096389+109.609167		false	Kwei-hsien, Kwangse	Kwei-hsien																																		
Kwei-hwa-chén, Shansi						https://www.google.com/maps/place/+	Kwei-hwa-chén is in the inner mongolia province, although there seems to be some confusion regarding it's position in european studies.	true																																				
Kweichow	7002080	27	107	Province	Polygon	https://www.google.com/maps/place/27+107	several entries	true	Kweichow																																			
Kweilin	8202408	25.281944	110.286389	Inhabited place	Point	https://www.google.com/maps/place/25.281944+110.286389	TGN for Kweilin	true	Kwailam, West River																																			
Kyoto	7004603	35	135.75	Inhabited place	Point	https://www.google.com/maps/place/35+135.75		false	Kyoto	Kioto, Japan	Kyoto, Japan																																	
Kyushu	7000901	33	131	Region (geographic)	Polygon	https://www.google.com/maps/place/33+131		false	Kyushu																																			
Kébao		20.938889	106.8		Point	https://www.google.com/maps/place/20.938889+106.8		false	Kébao, Tonkin	Kebao, Tonkin																																		
Késó, Tonkin		20.5	105.9		Point	https://www.google.com/maps/place/20.5+105.9		false	Késó, Tonkin																																			
Kê-roy, Tonkin Septentrional						https://www.google.com/maps/place/+	Not found	true	Kê-roy, Tonkin Septentrional																																			
Labuan	7018385	5.333333	115.2	Federal territory	Polygon	https://www.google.com/maps/place/5.333333+115.2		false	Labuan	Laburn	Labuan, British North Borneo																																	
Lagan		11.166667	108.7			https://www.google.com/maps/place/11.166667+108.7	Pointe Lagan	true	Lagan, Annam	Lagan																																		
Lahat	1082835	4.5333	101.0333	Inhabited place	Point	https://www.google.com/maps/place/4.5333+101.0333		false	Lahat, Perak	Lahat																																		
Lakawn		8.433333	99.966667			https://www.google.com/maps/place/8.433333+99.966667		false	Lakawn	Lakawn, Siam																																		
Lam		21.152834	105.47214			https://www.google.com/maps/place/21.152834+105.47214	TGN for Duong Lam	true	Lam, Tonkin	Lam																																		
Lampilao, Fokien						https://www.google.com/maps/place/+	Not Found: could be in the south of Fujien Province, perhaps 8 miles/12 Km from the coast.	true	Lampilao, Fokien																																			
Langson	1087162	21.852639	106.76101	Inhabited place	Point	https://www.google.com/maps/place/21.852639+106.76101		false	Langson	Langson, Tonkin																																		
Lanzhou	7001872	36.057006	103.839868	Inhabited place	Point	https://www.google.com/maps/place/36.057006+103.839868		false	Lancheo, Kansuh																																			
Lanzhou	7001872	36.057006	103.839868	Inhabited place	Point	https://www.google.com/maps/place/36.057006+103.839868		true	Lan-cheo, Kansuh	Lanchow																																		
Lao Kay	1087164	22.5	103.9667	Inhabited place	Point	https://www.google.com/maps/place/22.5+103.9667		false	Lao Kay, Tonkin																																			
Lao-ho-keo	1068375	32.385833	111.667778	Inhabited place	Point	https://www.google.com/maps/place/32.385833+111.667778		false	Lao-ho-keo, Hupeh	Lao-ho-keo	Laohokeo, Hupeh	Lao-ho-kéo, Hupeh																																
Laobrang, Thibet		35.195556	102.508056			https://www.google.com/maps/place/35.195556+102.508056	a tibetan monastery	true	Laobrang, Thibet																																			
Laokay	1087164	22.5	103.9667	Inhabited place	Point	https://www.google.com/maps/place/22.5+103.9667		false	Laokay	Laokay, Tonkin																																		
Laotian Regions, Siam						https://www.google.com/maps/place/+	Territory of Laos in Siam, needs to be defined manually	true	Laotian Regions, Siam																																			
Lappa		22.12	113.510114			https://www.google.com/maps/place/22.12+113.510114		false	Lappa	Lappa, Macao	Lappa Macao																																	
Larut		4.916667	100.75			https://www.google.com/maps/place/4.916667+100.75		false	Larut	Larut, Perak																																		
Lateng, West River	8347675	23.9659	108.05	Inhabited place	Point	https://www.google.com/maps/place/23.9659+108.05		false	Lateng, West River																																			
Legaspi	1084348	13.1333	123.7333	Inhabited place	Point	https://www.google.com/maps/place/13.1333+123.7333	https://de.wikipedia.org/wiki/Legazpi_City	false	Legaspi	Legaspi, P.I.	Legaspi, Philippines																																	
Leyte	7003707	11.3833	124.4833	Inhabited place	Point	https://www.google.com/maps/place/11.3833+124.4833		false	Leyte	Leite, Philippines																																		
Liang-hsiang	1069770	39.735978	116.132952	Inhabited place	Point	https://www.google.com/maps/place/39.735978+116.132952		false	Lianghsian-hsien, North China	Liang-hsiang																																		
Liaoyang	1069795	41.271944	123.173056	Inhabited place	Point	https://www.google.com/maps/place/41.271944+123.173056		false	Liaoyang, Manchuria	Liaoyang, North China																																		
Lienchow	1069788	24.781857	112.371196	Inhabited place	Point	https://www.google.com/maps/place/24.781857+112.371196		false	Lienchow	Lienchow, Kwangtung																																		
Lilong	8694688	23.004219	111.540495	Inhabited place	Point	https://www.google.com/maps/place/23.004219+111.540495		false	Lilong	Lilong, Kwangtung																																		
Limbang	1082844	4.8333	115	Inhabited place	Point	https://www.google.com/maps/place/4.8333+115		false	Limbang, S.arawak	Limbang, Sarawak	Limbang																																	
Linching	8317016	40.017945	116.685197	Inhabited place	Point	https://www.google.com/maps/place/40.017945+116.685197		true	Linching, North China	Linching																																		
Lingwu	1069873	38.081401	106.34444	Inhabited place	Point	https://www.google.com/maps/place/38.081401+106.34444		false	Lingwu																																			
Linshiang	1069911	29.4718	113.444	Inhabited place	Point	https://www.google.com/maps/place/29.4718+113.444		false	Linshiang, Hunan	Linshiang																																		
Liu-kung Tao	8630500	37.502222	122.181389	Island (landform)	Polygon	https://www.google.com/maps/place/37.502222+122.181389		false	Liu-kung Tao	Liu Kung Tan, Weihaiwei																																		
Liuchow	1070031	24.312582	109.389157	Inhabited place	Point	https://www.google.com/maps/place/24.312582+109.389157		false	Lui-chau, Kwangse	Liuchow																																		
Lohau-chai						https://www.google.com/maps/place/+	Not Found: Can possibly be found on the North China Imperial Railway	true	Lohau-chai																																			
Longchuen	8615408	27.845278	119.339167	Inhabited place	Point	https://www.google.com/maps/place/27.845278+119.339167	three possibilites	true	Longchuen, Chehkiang	Longchuen, Chekiang	Longchuen																																	
Longheu	8142128	22.679843	114.00534	Inhabited place	Point	https://www.google.com/maps/place/22.679843+114.00534		false	Longheu, Kwangtung	Longheü, Kwangtung	Longheu																																	
Longthun, Siam						https://www.google.com/maps/place/+	Not found.	true	Longthun, Siam																																			
Longxuyen	1087171	10.3833	105.4167	Inhabited place	Point	https://www.google.com/maps/place/10.3833+105.4167		false	Longxuyen, Cochin China	Longxuyen, Cochin-China	Longxuyen, Cochinchine																																	
Longxuyen	1087171	10.3833	105.4167	Inhabited place	Point	https://www.google.com/maps/place/10.3833+105.4167	Longxuyen is in Cochin-China, not in Tonkin	true	Longxuyen Cochin-China	Longxuyen	Longxuyen, Tonkin																																	
Lower Perak						https://www.google.com/maps/place/+		false	Lower Perak																																			
Lu-ngan-fu		36.191667	113.1125			https://www.google.com/maps/place/36.191667+113.1125	situated in the city of Changzhi	false	Lu-ngan-fu, Shansi																																			
Luar	7016479	4	97	Autonomous district	Polygon	https://www.google.com/maps/place/4+97	Tgn for region Aceh	true	Luar																																			
Lucheng	8620154	36.331389	113.224444	Inhabited place	Point	https://www.google.com/maps/place/36.331389+113.224444		false	Lucheng, Shanshe	Lucheng																																		
Luchow, Szechuen	1070255	28.872391	105.44049	Inhabited place	Point	https://www.google.com/maps/place/28.872391+105.44049	Modern name: Luzhou, Sichuan Province	false	Lucheo, Szechuen																																			
Lukouchiao, Tientsin	8621074	39.868796	116.277452	Fourth level subdivision	Polygon	https://www.google.com/maps/place/39.868796+116.277452		true	Lukouchiao, Tientsin																																			
Lunganfu	1070890	32.409336	104.528684	Inhabited place	Point	https://www.google.com/maps/place/32.409336+104.528684	wrong region	true	Lunganfu	Lunganfu, Shansi	Lungan-fu, Shansi																																	
Lungchingtsun	8627158	42.771389	129.423333	Inhabited place	Point	https://www.google.com/maps/place/42.771389+129.423333		false	Lungchingtsun																																			
Lungchow	7001881	22.4	106.9833	Inhabited place	Point	https://www.google.com/maps/place/22.4+106.9833	via map	true	Lungchow	Lungko	Lungkow																																	
Macao	7005019	22.1667	113.55	Semi-independent political entity	Polygon	https://www.google.com/maps/place/22.1667+113.55		false	Macao	Macáo	Macoa																																	
Macassar	1078833	-5.15	119.4667	Inhabited place	Point	https://www.google.com/maps/place/-5.15+119.4667	New from 1973 draft	true	Macassar	Maccassar																																		
Mae Klong	1085673	13.4167	100.0167	Inhabited place	Point	https://www.google.com/maps/place/13.4167+100.0167		false	Mekhlong, Siam	Mae Klong																																		
Maebashi	1080705	36.4	139.0667	Inhabited place	Point	https://www.google.com/maps/place/36.4+139.0667		false	Maebashi, Japan	Maebashi																																		
Magallanes	1084388	12.8167	123.8667	Inhabited place	Point	https://www.google.com/maps/place/12.8167+123.8667		false	Magallanes Philippines	Magallanes																																		
Malabon, Manila	7668779	14.669345	120.958164	Special city	Point	https://www.google.com/maps/place/14.669345+120.958164		false	Malabon, Manila	Malabon																																		
Malacca	1001899	2.25	102.25	State (political division)	Polygon	https://www.google.com/maps/place/2.25+102.25		false	Malacca	Malacca.																																		
Malay Peninsula	7018618	6	102	Peninsula	Polygon	https://www.google.com/maps/place/6+102	General Geographic Area	false	Malay Peninsula																																			
Malaya	1000128	2.5	112.5	Nation	Polygon	https://www.google.com/maps/place/2.5+112.5		false	Malaya																																			
Manchuria	7016767	42	126	General region	Polygon	https://www.google.com/maps/place/42+126	Historical Region in N.E. China	false	Manchuria																																			
Manila	7003706	14.6167	120.9667	Inhabited place	Point	https://www.google.com/maps/place/14.6167+120.9667		false	Manila.	Manila, P.I.	Man'l	Man’l	Manlia	Manila	Alanila	Mainla	Quiapo, Manila																											
Quiapo	7003706				Point		Quiapo		Quiapo, Manila																																			
Matang, Perak		4.847163	100.693826		Polygon	https://www.google.com/maps/place/4.847163+100.693826	No TGN Exists, but it exists on maps/near Taiping	true	Matang, Perak																																			
Matsue	7004638	35.4833	133.0667	Inhabited place	Point	https://www.google.com/maps/place/35.4833+133.0667		false	Matsue, Japan	Matsue																																		
